id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2023-1321061;2023-01-04;1;Vente;268000.0;21.0;;RUE MICHEL LE COMTE;6336;75003.0;75103;Paris 3e Arrondissement;75;;;75103000AT0091;;;13;;24;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.355277;48.862101
2023-1321061;2023-01-04;1;Vente;268000.0;21.0;;RUE MICHEL LE COMTE;6336;75003.0;75103;Paris 3e Arrondissement;75;;;75103000AT0091;;;13;;24;;;;;;;;2;2.0;Appartement;23.0;1.0;;;;;;2.355277;48.862101
2023-1321062;2023-01-11;1;Vente;55800.0;230.0;;RUE DU FAUBOURG SAINT HONORE;3518;75008.0;75108;Paris 8e Arrondissement;75;;;75108000BC0036;;;323;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.303375;48.876388
2023-1321063;2023-01-10;1;Vente;316770.0;5.0;;RUE LOUIS PUTEAUX;7892;75017.0;75117;Paris 17e Arrondissement;75;;;75117000CL0022;;;3;34.93;;;;;;;;;1;2.0;Appartement;35.0;2.0;;;;;;2.32177;48.882946
2023-1321064;2023-01-11;1;Vente;94000.0;2.0;;RUE DE LAGHOUAT;5261;75018.0;75118;Paris 18e Arrondissement;75;;;75118000CF0100;;;2;14.37;;;;;;;;;1;2.0;Appartement;15.0;1.0;;;;;;2.355989;48.888112
2023-1321064;2023-01-11;1;Vente;94000.0;2.0;;RUE DE LAGHOUAT;5261;75018.0;75118;Paris 18e Arrondissement;75;;;75118000CF0100;;;2;14.37;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.355989;48.888112
2023-1321065;2023-01-05;1;Vente;199000.0;14.0;;RUE DENOYEZ;2696;75020.0;75120;Paris 20e Arrondissement;75;;;75120000AA0028;;;70;20.01;;;;;;;;;1;2.0;Appartement;18.0;1.0;;;;;;2.378925;48.871766
2023-1321066;2023-01-06;1;Vente;1162000.0;13.0;;PAS DUBAIL;2938;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BB0065;;;106;;107;;116.0;;;;;;3;3.0;Dépendance;;0.0;;;;;;2.359603;48.873893
2023-1321066;2023-01-06;1;Vente;1162000.0;13.0;;PAS DUBAIL;2938;75010.0;75110;Paris 10e Arrondissement;75;;;75110000BB0065;;;106;;107;;116.0;;;;;;3;2.0;Appartement;106.0;4.0;;;;;;2.359603;48.873893
2023-1321067;2023-01-11;1;Vente;395000.0;19.0;;RUE DE LA JUSTICE;5134;75020.0;75120;Paris 20e Arrondissement;75;;;75120000BO0011;;;1162;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.407757;48.869582
2023-1321067;2023-01-11;1;Vente;395000.0;10.0;;VLA DES NYMPHEAS;6856;75020.0;75120;Paris 20e Arrondissement;75;;;75120000BO0011;;;1118;;420;;;;;;;;2;3.0;Dépendance;;0.0;;;;;;2.407757;48.869582
2023-1321067;2023-01-11;1;Vente;395000.0;10.0;;VLA DES NYMPHEAS;6856;75020.0;75120;Paris 20e Arrondissement;75;;;75120000BO0011;;;1118;;420;;;;;;;;2;2.0;Appartement;43.0;2.0;;;;;;2.407757;48.869582
2023-1321068;2023-01-10;1;Vente;260000.0;15.0;;QUAI DE L OISE;6879;75019.0;75119;Paris 19e Arrondissement;75;;;75119000BH0045;;;381;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.38301;48.890943
2023-1321068;2023-01-10;1;Vente;260000.0;15.0;;QUAI DE L OISE;6879;75019.0;75119;Paris 19e Arrondissement;75;;;75119000BH0045;;;381;;;;;;;;;;1;3.0;Dépendance;;0.0;;;;;;2.38301;48.890943
